source,destination,bytes,sha256,notes
3D Bathymetry plot.ipynb,gis_processing/mesh_and_bathymetry/notebooks/3D Bathymetry plot.ipynb,409820,3dec45fa9bb595d47abf4fbdf54b078580afa05c0305887e486b4af5539eb886,Embedded absolute paths retained
Additional validation for HD model.ipynb,model_validation/notebooks/Additional validation for HD model.ipynb,808419,daecd79624889e95955af11f36bd10e64c4e6e6e2a6b4d1ce57a2cdb4208c8c0,Embedded absolute paths retained
Altering Mesh bathymetry.ipynb,gis_processing/mesh_and_bathymetry/notebooks/Altering Mesh bathymetry.ipynb,25588,10e35778f761627fa2557ff0a427eb2b8ae0545c5ca7421845107d92a3c201ea,Embedded absolute paths retained
amplitude and phase difference finding.ipynb,model_validation/notebooks/amplitude and phase difference finding.ipynb,106837,044ab9d19f9ba36045b3c2ad8ee1640bc702c39e1b3a26c0f0ba49be7d770e9c,Embedded absolute paths retained
Area by salinity range.ipynb,salinity/notebooks/Area by salinity range.ipynb,60142,102b239f196885e209a7baa009f009e239a8103e356401105c699f9fb70502c4,Embedded absolute paths retained
Averaging values for tif files.ipynb,gis_processing/rasters_and_vectors/notebooks/Averaging values for tif files.ipynb,3746,f1ef574ab3f5cce2dfeff1a8aeb50ba7defe75b49f8857e023d4786ee3bfb3df,Embedded absolute paths retained
"Bar chart for FEMA, Compound and bathtub.ipynb","compound_flood/inundation_and_comparison/notebooks/Bar chart for FEMA, Compound and bathtub.ipynb",382090,f09fbed40591b25e872521b928fa3c3a7c73b65b47222ba1ee4cb8ac7beb9b73,Embedded absolute paths retained
Barrier and fringing reef comparison.ipynb,wave_reef/notebooks/Barrier and fringing reef comparison.ipynb,647329,ad73429698542a24998b7508f721d72073ef07c96fb287adaab6b2a28833e9d9,Embedded absolute paths retained
Baywise data extraction.ipynb,salinity/notebooks/Baywise data extraction.ipynb,34102,d139b7300da358359b9ac1799d20fb774fdd2155d211afea2bba10d070ba1f74,Embedded absolute paths retained
Building Population and SVI.ipynb,compound_flood/exposure/notebooks/Building Population and SVI.ipynb,41415,6e5b9f541190e495a8cb862980e1420375d620dbd6493a5a2896a0b3875e8d45,Embedded absolute paths retained
Calculation of flooded area with basemap-SVI-pop.ipynb,compound_flood/exposure/notebooks/Calculation of flooded area with basemap-SVI-pop.ipynb,6625982,d5fe2af7165d85d560da7748f19a311bec29e2f9b5ca2548814a7b18b2f482dd,Embedded absolute paths retained
Calculation of flooded area with basemap.ipynb,compound_flood/inundation_and_comparison/notebooks/Calculation of flooded area with basemap.ipynb,2206053,e18e855c480048a09b39422cf775a6c7326d21ffb2cfcb9c052ca474a48e3425,Embedded absolute paths retained
CFAR map.ipynb,compound_flood/drivers_and_sensitivity/notebooks/CFAR map.ipynb,2249785,4c6dedb85e48b3f84cd9be2f25beb24982086b0df03e8acbf064596ac6fef981,Embedded absolute paths retained
Check artificial ponding at inland model boundary.ipynb,compound_flood/inundation_and_comparison/notebooks/Check artificial ponding at inland model boundary.ipynb,213604,237d462db2a52751597f3e21efd98aac9231ee527a662fa6e70300a6c7f8a8a5,Embedded absolute paths retained
Check salinity data availability USGS.ipynb,salinity/notebooks/Check salinity data availability USGS.ipynb,5645,c01f135e2b675f882ef581826932083bcd67c2cffa7be6b9fdb4e754ec27d8df,Embedded absolute paths retained
Coastal_Engg_Homework-1.ipynb,coursework/undated/coastal_engineering/notebooks/Coastal_Engg_Homework-1.ipynb,1564818,b1d3537e95979fa2836d61e39418fe42d0057498a361c0ae6f4ac71c1116e5fc,Course term not established; not labeled Fall 2026; Embedded absolute paths retained
Comparing 2 dfsu files.ipynb,mikeio_tools/processing_and_plots/notebooks/Comparing 2 dfsu files.ipynb,3720,d7eedf50846f6c41872e94d0de30bf1e96cef05b2b62411134240f746e42f1ce,Embedded absolute paths retained
Compound vs. FEMA vs NOAA SLR.ipynb,compound_flood/inundation_and_comparison/notebooks/Compound vs. FEMA vs NOAA SLR.ipynb,6388,e7ddf102fdbb55f457538f5209e8383588d59e7a6188c1ce2d1941f2e50c882a,Embedded absolute paths retained
Continuous Color bar legend.ipynb,compound_flood/inundation_and_comparison/notebooks/Continuous Color bar legend.ipynb,2163088,41cb7449989a878188f9f5b696a28bcdf80964b8c248e998a3071af1e6ca0927,Embedded absolute paths retained
